source_id,source_type,category,priority,technical_details,suggested_title
R055,Review,Spam,Low,"Lottery promotional spam with external link (LOTTERY.SCAM), guaranteed jackpot claims, version 1.3.8","Filter gambling/lottery promotional spam"
R056,Review,Spam,Low,"Gift card scam with external link (REWARDS.FAKE), instant rewards claims, version 3.0.5","Remove gift card promotional scam"
R057,Review,Complaint,High,"App sluggish and unresponsive, takes forever for basic operations, needs optimization, version 1.3.4","Optimize app responsiveness and basic operations"
R058,Review,Feature Request,High,"Dark mode implementation requested for dark environments, current bright interface problematic, version 4.5.0","Implement dark mode for dark environment usage"
R059,Review,Feature Request,Medium,"Touch ID support for convenient login, current password system cumbersome, version 3.4.1","Add Touch ID for convenient frequent access"
R060,Review,Feature Request,High,"Bulk export functionality needed for large projects, individual export too time-consuming, version 2.3.1","Implement bulk document export for large projects"
R061,Review,Praise,Low,"Outstanding app rating: reliable, feature-complete, excellent UX, exemplary productivity app, version 4.7.6","Document exceptional user satisfaction and app quality"
R062,Review,Feature Request,High,"Dark theme perfect addition to already great app, version 1.3.9","Add dark theme to enhance already positive user experience"
R063,Review,Complaint,High,"Poor customer service quality: slow responses, unhelpful solutions for premium users, version 1.9.3","Improve customer service quality for premium subscribers"
R064,Review,Bug,High,"Sync problems persist: documents inconsistent across devices, version 3.5.7","Fix persistent document consistency across devices"
R065,Review,Bug,High,"File sync unreliable between iPhone and Mac, manual re-sync required, Apple ecosystem issue, version 3.8.5","Fix iPhone-Mac synchronization in Apple ecosystem"
R066,Review,Bug,Critical,"App crashes on settings access, cannot customize or change preferences, version 4.0.1","Fix critical crash when accessing settings/preferences"
R067,Review,Spam,Low,"Promotional spam with external link (DEALS.SCAM), 90% savings claims, version 2.1.3","Remove promotional savings spam"
R068,Review,Complaint,Critical,"Severe performance degradation: app barely responds, constant freezing, quality declined, version 1.1.2","Address critical performance decline and freezing"
R069,Review,Spam,Low,"Free products promotional spam with external link (FREEBIES.FAKE), version 1.9.3","Filter promotional freebie spam"
R070,Review,Bug,Critical,"Settings screen causes immediate crash, cannot configure preferences, version 1.6.0","Fix immediate crash when opening Settings screen"
E001,Email,Feature Request,High,"User works late nights, bright interface causes eye strain, requests dark mode for accessibility and comfort","Implement dark mode for late-night users and accessibility"
E002,Email,Bug,Critical,"User lost 3 hours of work twice in one week, data saving issues, critical business impact","Fix data persistence to prevent work loss"
E003,Email,Feature Request,Medium,"User requests dark mode for evening work sessions, modern app standard feature","Add dark theme for evening work environments"
E004,Email,Bug,Critical,"Password reset emails not received despite multiple attempts, user locked out with urgent access needed, checked spam","Fix password reset email delivery system"
E005,Email,Bug,Critical,"iPhone 14 Pro iOS 17.5: App crashes on file export, freezes 10 seconds then crashes, error code ERR_EXPORT_FAIL_001","Fix file export crash on iPhone 14 Pro with error ERR_EXPORT_FAIL_001"
E006,Email,Bug,High,"Work from yesterday not syncing from phone to laptop, sync appears working but data not transferring, presentation deadline","Fix sync functionality between mobile and desktop platforms"
E007,Email,Feature Request,Medium,"Dark mode requested for late hours usage and battery saving on mobile devices","Add dark mode for late hours and battery optimization"
E008,Email,Feature Request,Low,"Search filters by date/type/tags, keyboard shortcuts for workflow improvement suggested","Enhance search functionality and add keyboard shortcuts"
E009,Email,Bug,High,"Login shows 'invalid credentials' after recent update, password manager used so no typing errors","Fix login credential validation after recent update"
E010,Email,Bug,Critical,"Critical project file 'Johnson_Marketing_Campaign_v12' disappeared, month of work lost, client deadline tomorrow","Investigate missing project files and implement data recovery"
E011,Email,Bug,High,"Samsung Galaxy S23 Android: Random crashes 3-4 times per hour, cleared cache and updated, plenty storage/RAM","Fix frequent crashes on Samsung Galaxy S23 Android"
E012,Email,Feature Request,Low,"Night-shift worker requests dark mode for visual sensitivity and low-light work environment","Add dark mode for shift workers and visual accessibility"
E013,Email,Bug,High,"Files missing after system maintenance, client information lost, account ID: ACC_789321","Investigate data loss during system maintenance (Account ACC_789321)"
E014,Email,Feature Request,Medium,"Night-shift worker needs dark mode for dim lighting conditions and work comfort","Implement dark theme for night-shift workers"
E015,Email,Feature Request,Medium,"Bulk actions, drag-and-drop organizing, recent activity log suggestions for workflow improvement","Add bulk actions, drag-drop functionality, and activity logging"
E016,Email,Feature Request,Medium,"Notification customization preferences, email digest options for better notification management","Implement notification preferences and email digest options"
E017,Email,Feature Request,Low,"Offline mode support for poor internet areas, auto-sync when connection restored","Add offline mode with automatic sync restoration"
E018,Email,Bug,High,"Chrome Windows 11: Recent changes not saving despite 'saved' confirmation, intermittent data loss","Fix intermittent save issues on Chrome Windows 11"
E019,Email,Bug,High,"MacBook Pro M2: App crashes on files >50MB, smaller files OK, error 'Memory allocation failed'","Fix large file upload crashes on MacBook Pro M2 (>50MB limit)"
E020,Email,Bug,High,"3 shared folders lost content, folders exist but empty, team members affected, important project files","Investigate shared folder content loss affecting multiple users"
E021,Email,Feature Request,Low,"iPad interface cramped, needs tablet optimization and landscape mode support, stylus support","Optimize interface for tablets with landscape and stylus support"
E022,Email,Feature Request,Medium,"Dark mode for evening hours usage and mobile battery life extension","Add dark theme for evening use and battery optimization"
E023,Email,Bug,Medium,"Database entries corrupted after large CSV import, fields showing garbled text or null values","Fix data corruption issues during large CSV import process"
E024,Email,Bug,High,"Two-factor authentication broken after phone change, correct codes from authenticator rejected","Fix 2FA system reliability after device changes"
E025,Email,Feature Request,High,"Third-party integrations needed: Slack, Trello, Google Workspace, API access for enterprise users","Implement enterprise integrations and API access"
E026,Email,Bug,High,"Account shows 'Account access restricted - contact support' without notification or violation, subscription current","Investigate account suspension system and notification process"
E027,Email,Feature Request,Low,"Developer requests dark mode for eye strain when switching between app and dark code editor","Add dark theme for developers and professional users"
E028,Email,Feature Request,Medium,"Search improvements needed: irrelevant results, no sorting/filtering, doesn't search document content","Enhance search with full-text search and advanced filtering"
E029,Email,Feature Request,Low,"Version history for documents like Google Docs, change tracking for collaboration","Add document version control and change tracking"
E030,Email,Bug,High,"Android 10 crashes within 5-10 minutes, worked before recent update, older device compatibility","Fix Android 10 compatibility issues after recent update"
E031,Email,Bug,High,"Account reset to earlier state, last week's completed projects showing incomplete, data rollback issue","Investigate account state rollback and data restoration"
E032,Email,Feature Request,Low,"UI confusing for new users, needs guided tour and tooltips for advanced features","Improve user onboarding with guided tour and contextual help"
E033,Email,Bug,High,"Windows desktop and Android mobile: Sync conflicts overwrite changes instead of merging","Fix synchronization conflict resolution between Windows and Android"
E034,Email,Complaint,High,"Performance sluggish with larger projects, loading times increased significantly, optimization needed","Optimize performance for large projects and datasets"
E035,Email,Feature Request,Medium,"Real-time editing and commenting system needed for team collaboration like Google Docs","Add real-time collaborative editing with commenting system"
E036,Email,Bug,Medium,"Google OAuth 'OAuth authentication failed' error, regular email login works, both web and mobile affected","Fix Google OAuth authentication integration"
E037,Email,Bug,High,"Password reset emails not delivered for 2 days, multiple attempts, different browsers, manual reset needed","Fix password reset email delivery system reliability"
E038,Email,Feature Request,Medium,"Mobile app needs landscape mode and better tablet optimization, stylus support for compatible devices","Improve mobile app tablet optimization and stylus support"
E039,Email,Bug,Critical,"Auto-logout every few minutes during active use, disruptive workflow, started after security update","Fix aggressive session timeout causing frequent logouts"
E040,Email,Bug,Critical,"Critical files corrupted: appear in file list but open as blank or scrambled text, irreplaceable client data","Fix data corruption causing files to display as blank or scrambled"
